 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
403	Lost Magic	NDS	05/07/2021		Not Completed	58	0				Strategy | RPG	/	
802	The History Channel: Great Battles of Rome	PS2	10/12/2024		Not Completed	58	0				Strategy	Box | Cover | Manual	
508	RTL Winter Games 2007	PS2	19/05/2022	/	Null	58	/				Sports	Box | Cover | Manual	
471	Pro Evolution Soccer 2011	PS3	31/03/2022	/	Null	58	/				Sports		
17	Marvel Nemesis: Rise Of The Imperfects	NDS	Day 1 2012	Not Registered	Completed	57	1	14			Fighting	/	
135	Madagascar	PS2	28/12/2015	07/01/2016	Completed	57	1	92	04:44		Action | Adventure	Box | Cover 	
360	Turok	PS3	24/08/2020	27/04/2022	Completed	57	1				FPS	Box | Cover | Manual	
628	Peter Jackson's King Kong: The Official Game of the Movie	PSP	13/07/2023	03/10/2023	Completed	57	1				Action | Adventure	Box | Cover | Manual	
481	Gran Turismo 3: A-Spec	PS2	22/04/2022		Not Completed	57	0				Racing	Box | Cover | Manual	Platinum
165	Dungeon Siege: Throne of Agony	PSP	06/09/2016		Not Completed	57	0				RPG | Action	Box | Cover | Manual	
157	Athens 2004	PS2	21/08/2016	/	Null	57	/				Sports	/	Platinum
604	Rayman: Raving Rabbids TV Party	NDS	24/05/2023	16/06/2023	Completed	56	1				Party		
190	Freak Out: Extreme Freeride	PC	30/07/2017		Not Completed	56	0				Sports	Box | Cover | Manual	
566	Command & Conquer: Red Alert 3	PS3	09/01/2023		Not Completed	56	0				Strategy | L	Box | Cover | Manual	Ultimate Edition
491	Madden NFL 2003	PS2	22/04/2022	/	Null	56	/				Sports	Box | Cover	
572	Top Spin 3	PS3	04/02/2022	/	Null	56	/				Sports	Box | Cover | Manual	
476	Pro Evolution Soccer 2012	PS3	09/04/2022	/	Null	56	/				Sports	Box | Cover | Manual	
845	Adventure	Atari FB3	13/05/2025	19/05/2025	Completed	55	1				Adventure	Built-in	
537	Disney's Kim Possible: Kimmunicator	NDS	28/08/2022	09/09/2022	Completed	55	1				Platform | <3	Box | Cover | Manual	
590	Pipe Mania	NDS	16/03/2023	18/03/2023	Completed	55	1	26			Puzzle	Box | Cover | Manual	
608	Pirates: Duels on the High Seas	NDS	29/05/2023	14/06/2023	Completed	55	1		04:02		Adventure 	Box | Cover | Manual	
435	Alone in the Dark: The New Nightmare	PS2	22/10/2021		Not Completed	55	0				Horror | Adventure	Box | Cover | Manual	
301	Naruto: Ultimate Ninja Heroes	PSP	25/07/2019		Not Completed	55	0				Fighting	Box | Cover | Manual	
399	Simple 2500 Series Portable Vol. 2: The Tennis	PSP	02/06/2021	/	Null	55	/				Sports	Box | Cover	
305	Buzz!: Quiz World	PSP	30/08/2019	/	Null	55	/				Party	Box	
113	Boogie	PS2	15/09/2015	27/09/2015	Completed	54	1				Party	Box | Cover | Manual	
316	Duke Nukem Forever	PS3	28/10/2019	04/07/2021	Completed	54	1				FPS	Box | Cover | Manual	
535	Star Wars: The Clone Wars – Republic Heroes	Wii	27/08/2022	07/10/2023	Completed	54	1				Action | Adventure	Box | Cover | Manual	
101	Prey	PC	22/06/2015		Not Completed	54	0				FPS	Box | Cover | Manual	
188	Tomb Raider: Chronicles	PC	27/07/2017		Not Completed	54	0		01:57		Action | Adventure	Box | Cover	Sold Out Software
33	GUN Showdown	PSP	02/02/2013		Not Completed	54	0				FPS | L | OpenWorld	Box | Cover | Manual	
215	MX vs. ATV Untamed	PSP	23/04/2018		Not Completed	54	0	12			Racing	Box | Cover | Manual	Essentials
122	Naruto Shippuden: Kizuna Drive	PSP	30/10/2015		Not Completed	54	0		02:59		Fighting	Box | Cover | Manual	Essentials
1004	Freedom Wars	VITA	27/03/2026		Not Completed 	54	0				Action | RPG	Box | Cover | Manual	
760	Pro Evolution Soccer 2011 3D	3DS	12/09/2024	/	Null	54	/				Sports	Box | Cover | Manual	
879	Outlaw	Atari FB3	13/05/2025	/	Null	54	/				Party	Built-in	
679	Super Puzzle Fighter II Turbo	PS Classic	07/11/2023	/	Null	54	/				Puzzle	Built-in Console	
614	Disney Sing It	PS2	29/05/2023	/	Null	54	/				Party	Box | Cover | Manual	
244	Gran Turismo 4 Prologue	PS2	11/08/2018	/	Null	54	/				Racing	Box 	
422	GunPey DS	NDS	19/08/2021	08/09/2021	Completed	53	1				Puzzle	Box | Cover | Manual	
410	Mahjongg DS	NDS	24/07/2021	28/07/2021	Completed	53	1				Puzzle	Box | Cover | Manual	
483	Wreckless: The Yakuza Missions	PS2	22/04/2022	18/09/2022	Completed	53	1				Racing	Box | Cover | Manual	
119	In Cold Blood	PS1	28/10/2015		Not Completed	53	0		00:59	#3 PS1	Action | Adventure	Box | Cover 	
62	Killzone Liberation	PSP	Late 2013 - Early 2014		Not Completed	53	0				Action | Strategy	Box | Cover | Manual	
848	Aquaventure	Atari FB3	13/05/2025	/	Null	53	/					Built-in	
896	Surround	Atari FB3	13/05/2025	/	Null	53	/				Party	Built-in	
617	SSX	PS2	29/05/2023	/	Null	53	/				Sports	Box | Cover | Manual	Platinum
