 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
500	Rogue Ops	PS2	19/05/2022		Not Completed		0				Action | Stealth	Box	
551	Kingdom Hearts II	PS2	04/11/2022		Not Completed		0				Action | RPG 	Box | Cover | Manual	
271	Star Trek Encounters	PS2	09/01/2019		Not Completed		0				Adventure	Box | Cover | Manual	
273	Syphon Filter: The Omega Strain	PS2	09/01/2019		Not Completed		0				TPS	Box | Cover | Manual	
948	The Sum of All Fears	PS2	28/10/2025		Not Completed		0					Box | Cover | Manual	
949	Fifa Street 2	PS2	28/10/2025		Not Completed		0				Sports	Box | Cover | Manual	
253	Theme Park World	PS2	17/08/2018		Not Completed		0				Strategy	Box	
487	Tony Hawk's American Wasteland	PS2	22/04/2022		Not Completed		0				Sports	Box | Cover	
634	Dynasty Warriors 2	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
635	Dynasty Warriors 3 Xtreme Legends	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
636	Dynasty Warriors 4	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
637	Dynasty Warriors 4 Xtreme Legends	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
638	Dynasty Warriors 4 Empires	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
639	Dynasty Warriors 5	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
1049	American Dragon: Jake Long	GBA	21/07/2026		Not Completed		0				Platformer	/	
1050	Peter Jackson's King Kong: The Official Game of the Movie	NDS	21/07/2026		Not Completed		0				Action | Adventure	Box | Cover | Manual	
1051	Mahjong	NDS	21/07/2026		Null		/				Puzzle	Box | Cover | Manual	
1052	Mahjong Quest: Expeditions	NDS	21/07/2026		Null		/				Puzzle	Box | Cover | Manual	
1053	Mahjong: A Journey Around the World	NDS	21/07/2026		Null		/				Puzzle	Box | Cover | Manual	
1054	Need for Speed: The Run	3DS	21/07/2026		Not Completed		0				Racing	/	
1055	Cars 2	3DS	21/07/2026		Not Completed		0				Racing	/	
1056	Nintendogs + Cats: Golder Retreiver and New Friends	3DS	21/07/2026		Null		/				Party	/	
1057	Spy Hunter	3DS	21/07/2026		Not Completed		0				Racing	/	
1058	Lego City Undercover: The Chase Begins	3DS	21/07/2026		Not Completed		0				Adventure	/	
1059	New Art Academy	3DS	21/07/2026		Null		/				Party	/	
1060	Mario Kart 7	3DS	21/07/2026	24/08/2026	Completed	79	2				Racing	/	
1061	I Love My Dogs	3DS	21/07/2026		Null		/				Party	/	
1062	FIFA 12	3DS	21/07/2026		Null		/				Sports	/	
1063	Around the World with Hello Kitty and Friends	3DS	21/07/2026		Not Completed		0				Puzzle	/	
1064	Pinball Hall of Fame 3D	3DS	21/07/2026	/	Null	65	/				Party	/	
1065	WWE All-Stars	3DS	21/07/2026		Not Completed		0				Fighting	/	
1066	Jewel Quest Mysteries: The Seventh Gate	3DS	21/07/2026		Not Completed		0				Puzzle	/	
640	Dynasty Warriors 5 Empires	PS2	07/08/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
641	Kessen	PS2	07/08/2023		Not Completed		0				Strategy	Box | Cover | Manual	
642	Dynasty Tactics	PS2	07/08/2023		Not Completed		0				Strategy	Box | Cover | Manual	
1075	Asterix & Obelix XXL: Romastered	PS4	28/08/2026		Not Completed		0				Action | Adventure	Box | Cover | Manual	
643	Dynasty Tactics 2	PS2	07/08/2023		Not Completed		0				Strategy	Box | Cover | Manual	
732	Zathura	PS2	30/05/2024		Not Completed		0				Action | Adventure	Box | Cover | Manual	
734	Legend of Kay	PS2	30/05/2024		Not Completed		0				Action | Adventure	Box | Cover 	
818	Forgotten Realms: Demon Stone	PS2	09/02/2025		Not Completed		0				Action | RPG	Box | Cover | Manual	
819	Furry Tales	PS2	09/02/2025		Not Completed		0				Strategy	Box | Cover	
820	Mercenaries 2: World in Flames	PS2	09/02/2025		Not Completed		0				Action | Adventure	Box | Cover 	
822	Naruto Uzumaki Chronicles 2	PS2	09/02/2025		Not Completed		0				Fighting	Box | Cover | Manual	
736	Tom Clancy's Ghost Recon Advanced Warfighter	PS2	30/05/2024		Not Completed		0				FPS | Strategy	Box | Cover | Manual	
434	Warriors Orochi	PS2	22/10/2021		Not Completed		0				Action | H&S	Box | Cover | Manual	
738	Spider-Man	PS2	26/06/2024		Not Completed		0				Action | Adventure	Box | Cover | Manual	
739	Cold Winter	PS2	26/06/2024		Not Completed		0				FPS	Box | Cover | Manual	
206	Harry Potter and the Order of Phoenix	PS2	15/09/2017		Not Completed		0				Action | Adventure	Box | Cover 	
836	Tomb Raider: Angel of Darkness	PS2	22/03/2025		Not Completed		0				Action | Adventure		
250	Need for Speed: Underground 2	PS2	17/08/2018		Not Completed		0				Racing	Box	
766	24: The Game	PS2	12/09/2024		Not Completed		0				TPS	Box | Cover | Manual	
767	Broken Sword: The Sleeping Dragon	PS2	12/09/2024		Not Completed		0				Adventure	Box | Cover	
771	Mission: Impossible - Operation Surma	PS2	12/09/2024		Not Completed		0				Action | Adventure | Stealth	Box | Cover | Manual	
911	Driv3r	PS2	09/06/2025		Not Completed		0				Action | Adventure	Box | Cover	
773	The Dukes of Hazard: Return of the General Lee	PS2	12/09/2024		Not Completed		0				Racing	Box | Cover | Manual	
931	Naruto Shippuden: Ultimate Ninja 5	PS2	19/07/2025		Not Completed		0				Fighting	Box | Cover	
1005	Call of Duty 3	PS2	03/04/2026		Not Completed		0				FPS	Box | Cover | Manual	Platinum
1006	Smuggler's Run 2: Hostile Territory	PS2	03/04/2026		Not Completed		0				Racing	Box | Cover | Manual	
1007	The Getaway	PS2	03/04/2026		Not Completed		0				Action | Adventure	Box | Cover | Manual	Platinum
1008	The Getaway: Black Monday	PS2	03/04/2026		Not Completed		0				Action | Adventure	Box | Cover | Manual	
1009	Haven: Call Of The King	PS2	03/04/2026		Not Completed		0				Action | Adventure	Box | Cover | Manual	
1010	Cel Damage Overdrive	PS2	03/04/2026		Not Completed		0				Racing	Box | Cover | Manual	
1012	Leisure Suit Larry: Magna Cum Laude	PS2	18/04/2026		Not Completed	60	0				Adventure	Box | Cover | Manual	
953	Unreal Tournament 3	PS3	28/10/2025		Not Completed		0				FPS  	Box | Cover | Manual	
913	One Piece: Pirate Warriors 2	PS3	09/06/2025	19/09/2026	Completed	84	2				Action | H&S	Box | Cover | Manual	
914	Injustice: Gods Among Us	PS3	09/06/2025		Not Completed		0				Fighting	Box | Cover | Manual	
443	Doom 3: BFG Edition	PS3	14/12/2021		Not Completed		0				FPS | Horror	Box | Cover | Manual	
555	Far Cry 4	PS3	04/11/2022	10/09/2026	Completed	77	1				FPS	Box | Cover | Manual	
560	Watch Dogs 	PS3	04/11/2022	26/06/2026	Completed	71	1				Action | Adventure	Box | Cover | Manual	
440	Game of Thrones: The Game	PS3	02/12/2021		Not Completed		0				RPG	Box | Manual	
419	Haze	PS3	18/08/2021		Not Completed		0				FPS	Box | Cover 	
446	Kingdom Hearts Re:Chain of Memories	PS3	14/12/2021		Not Completed		0				RPG	Box | Cover | Manual	-HD 1.5 ReMIX-
838	MindJack	PS3	17/04/2025		Not Completed		0				Action | TPS	Box | Cover 	
840	Conflict: Denied Ops	PS3	17/04/2025		Not Completed		0				FPS	Box | Cover 	
841	Legendary	PS3	17/04/2025		Not Completed		0				FPS	Box | Cover 	
842	Hitman: Absolution	PS3	17/04/2025		Not Completed		0				Action | Stealth	Box | Cover 	
843	Risen 2: Dark Waters	PS3	17/04/2025		Not Completed		0				RPG	Box | Cover 	
786	Diablo III: Reaper of Souls	PS3	08/11/2024		Not Completed		0				Action | RPG	Box | Cover | Manual	Ultimate Evil Edition
286	Mass Effect 3	PS3	07/03/2019		Not Completed		0				RPG | TPS	/	
573	Need for Speed: Carbon	PS3	04/02/2022		Not Completed		0				Racing	Box | Cover | Manual	
574	James Cameron's AVATAR: The Game	PS3	04/02/2022		Not Completed		0				Action | Adventure	Box | Cover | Manual	
338	Need for Speed: ProStreet	PS3	14/04/2020		Not Completed		0				Racing	/	
742	Crysis 2	PS3	23/07/2024		Not Completed		0				FPS	Box | Cover | Manual	
743	Crysis 3	PS3	23/07/2024		Not Completed		0				FPS	Box | Cover | Manual	Hunter Edition
748	Dragon Age II	PS3	23/07/2024		Not Completed		0				RPG	Box | Cover	
527	Payday 2	PS3	27/08/2022		Not Completed		0				FPS	Box | Cover | Manual	Essentials
1014	Sniper Elite V2	PS3	18/04/2026		Not Completed		0				FPS	Box | Cover	
1015	Naruto Shippuden: Ultimate Ninja Storm Generations	PS3	18/04/2026		Not Completed		0				Fighting	Box | Cover	
468	Tom Clancy's Splinter Cell: Double Agent	PS3	16/03/2022		Not Completed		0				Stealth | Action | <3	Box | Cover	
987	Half-Life 2	PS3	06/01/2026		Not Completed		0				FPS		Orange Box
988	Half-Life 2: Episode One	PS3	06/01/2026		Not Completed		0				FPS		Orange Box
989	Half-Life 2: Episode Two	PS3	06/01/2026		Not Completed		0				FPS		Orange Box
600	Tom Clancy's Splinter Cell: Blacklist	PS3	05/05/2023		Not Completed		0				Stealth | Action	Box | Cover | Manual	
1032	Fallout: New Vegas Ultimate Edition	PS3	20/06/2026		Not Completed		0				RPG	Box | Cover | Manual	Essentials
601	Inversion	PS3	05/05/2023		Not Completed		0				Action | TPS	Box | Cover | Manual	
655	Mass Effect 2	PS3	28/08/2023		Not Completed		0				TPS | RPG	Box | Cover | Manual	
389	Stormrise	PS3	14/04/2021		Not Completed		0				Strategy	Box | Cover | Manual	
456	The Elder Scrolls IV: Oblivion	PS3	19/02/2022		Not Completed		0				RPG	Box | Cover | Manual	GOTY
578	Dynasty Warriors Strikeforce	PS3	11/02/2023		Not Completed		0				Action | H&S	Box | Cover | Manual	
927	Tom Clancy's Splinter Cell	PS3	19/07/2025		Not Completed		0				Action | Stealth	Box | Cover	PS3 Trilogy
928	Tom Clancy's Splinter Cell: Pandora Tomorrow	PS3	19/07/2025		Not Completed		0				Action | Stealth	Box | Cover	PS3 Trilogy
929	Tom Clancy's Splinter Cell: Chaos Theory	PS3	19/07/2025		Not Completed		0				Action | Stealth	Box | Cover	
749	LittleBigPlanet	PS3	11/08/2024		Not Completed		0				Platformer	Box | Cover | Manual	
769	XCOM: Enemy Unknown	PS3	12/09/2024		Not Completed		0				Strategy	Box | Cover | Manual	
940	GoldenEye 007 Reloaded	PS3	01/10/2025		Not Completed		0				FPS	Box | Cover | Manual	
941	Medal of Honor	PS3	01/10/2025		Not Completed		0				FPS	Box | Cover | Manual	
942	Dragon Age: Inquisition	PS3	01/10/2025		Not Completed		0				RPG	Box | Cover | Manual	
1016	Kingdom Come Deliverance	PS4	18/04/2026		Not Completed		0				RPG	Box | Cover	Royal Edition
1017	Dishonored: Death of the Outsider	PS4	18/04/2026	19/07/2026	Completed	76	1				Action | Stealth	Box | Cover	
1019	Zombi	PS4	18/04/2026		Not Completed		0				Action | Horror	Box | Cover | Manual	
1020	The Evil WIthin 2	PS4	18/04/2026		Not Completed		0				Horror | TPS	Box | Cover | Manual	
952	Metro Exodus	PS4	28/10/2025		Not Completed		0				FPS | Horror	Box | Cover | Manual	
932	Horizon Zero Dawn	PS4	20/08/2025		Not Completed		0				Action | Adventure	Box | Cover 	
933	The Last Guardian	PS4	20/08/2025		Not Completed		0				Action | Adventure	Box | Cover 	
919	Dying Light	PS4	19/07/2025		Not Completed		0				Action | Adventure	Box | Cover | Manual	
920	Borderlands 3	PS4	19/07/2025		Not Completed		0				FPS | RPG	Box | Cover	
922	Star Wars Jedi: Fallen Order	PS4	19/07/2025		Not Completed		0				Action | Adventure	Box | Cover | Manual	
923	Republique	PS4	19/07/2025		Not Completed		0				Action | Adventure | Stealth	Box | Cover	
717	Metal Gear Survive	PS4	03/05/2024		Not Completed		0				Horror | Action	Box | Cover 	
777	Just Cause 3	PS4	12/09/2024		Not Completed		0				Action | Adventure | OpenWorld	Box | Cover | Manual	
778	Fade to Silence	PS4	12/09/2024		Not Completed		0				Action | Adventure	Box | Cover | Manual	
779	Final Fantasy XV	PS4	12/09/2024		Not Completed		0				RPG	Box | Cover | Manual	
780	XCOM 2	PS4	12/09/2024		Not Completed		0				Strategy	Box | Cover | Manual	
781	Dolmen	PS4	12/09/2024		Not Completed		0				Action | RPG	Box | Cover | Manual	
718	Anthem	PS4	11/05/2024		Not Completed		0				Action | RPG	Box | Cover | Manual	
719	Balan Wonderworld	PS4	11/05/2024		Not Completed		0				Platformer	Box | Cover | Manual	
943	Code Vein	PS4	01/10/2025		Not Completed		0				Action | RPG	Box | Cover | Manual	
944	Shadows Awakening	PS4	01/10/2025		Not Completed		0				Action | RPG	Box | Cover | Manual	
945	inFamous: Second Son	PS4	01/10/2025		Not Completed		0				Action | Adventure	Box | Cover | Manual	
946	Dragon Quest Heroes: The World Tree's Woe and the Blight Below	PS4	01/10/2025		Not Completed		0				Action | H&S	Box | Cover | Manual	
1021	Patapon 2	PSP	18/04/2026		Not Completed		0				Strategy	Box	
813	Star Wars Battlefront: Renegade Squadron	PSP	09/02/2025		Not Completed		0				Action | TPS	Box | Cover | Manual	
814	Star Wars Battlefront: Elite Squadron	PSP	09/02/2025		Not Completed		0				Action | TPS	Box | Cover	
815	Marvel Super Hero Squad	PSP	09/02/2025		Not Completed		0				Action | Adventure	Box | Cover | Manual	
532	Crisis Core: Final Fantasy VII	PSP	27/08/2022		Not Completed		0				Action | RPG	/	
714	Super Monkey Ball Adventure	PSP	09/04/2024		Not Completed		0				Platformer	Box | Cover | Manual	
225	Final Fantasy III	SNES Classic	27/07/2018		Not Completed		0				RPG	Built-in Console	
229	Secret of Mana	SNES Classic	27/07/2018		Not Completed		0				RPG	Built-in Console	
912	SSX Blur	Wii	09/06/2025		Not Completed		0				Sports	Box | Cover | Manual	
963	Driver: Renegade 3D	3DS	11/12/2025	23/07/2026	Completed 	68	1				Action | Racing	Box | Cover | Manual	
964	Dead or Alive: Dimensions	3DS	11/12/2025		Not Completed 		0				Fighting	Box | Cover | Manual	
700	Jak and Daxter: The Precursor Legacy	PS2	09/12/2023		Not Completed 		0				Action | Adventure	Box | Cover | Manual	Essentials
974	Max Payne	PS2	11/12/2025		Not Completed 		0				TPS	Box | Cover | Manual	
1027	Devil May Cry 2	PS2	30/05/2026	01/07/2026	Completed	69	1				Action | H&S	Box | Cover	
695	Dead Island	PS3	09/12/2023		Not Completed 		0				Action | RPG | Horror	Box | Cover	
830	Alpha Protocol	PS3	08/03/2025		Not Completed 		0				Action | RPG	Box | Cover	
831	Army of Two	PS3	08/03/2025		Not Completed 		0				TPS	Box | Cover	
832	Dragon Age: Origins	PS3	08/03/2025		Not Completed 		0				RPG	Box | Cover	
833	Damnation	PS3	08/03/2025		Not Completed 		0				TPS	Box | Cover	
834	Dark Void	PS3	08/03/2025		Not Completed 		0				TPS	Box | Cover	
835	Hunted: The Demon's Forge	PS3	08/03/2025		Not Completed 		0				Action | Adventure	Box | Cover	
955	Yakuza 3	PS3	02/11/2025		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
973	Heavenly Sword	PS3	11/12/2025		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
982	Bladestorm: The Hundred Years' War	PS3	15/12/2025		Not Completed 		0				H&S | Strategy	Box | Cover | Manual	
991	Mafia II	PS3	28/01/2026		Not Completed 		0				Action | Adventure	Box | Cover	
992	Battlefield: Bad Company	PS3	28/01/2026		Not Completed 		0				FPS	Box | Cover	
993	Battlefield: Bad Company 2	PS3	28/01/2026		Not Completed 		0				FPS	Box | Cover	Platinum
994	Lord of the Rings: War in the North	PS3	28/01/2026		Not Completed 		0				Action | RPG	Box | Cover	
996	Assassin's Creed: Rogue	PS3	28/01/2026		Not Completed 		0				Action | Adventure | OpenWorld	Box | Cover	
998	Wanted: Weapons of Fate	PS3	28/01/2026		Not Completed 		0				TPS	Box | Cover	
999	Kane & Lynch: Dead Man	PS3	28/01/2026		Not Completed 		0				TPS	Box | Cover	
1025	Monsters vs Aliens	PS3	19/05/2026	15/08/2026	Completed	66	1				Action | Adventure	Box | Cover	
1026	One Piece: Unlimited World Red	PS3	19/05/2026		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
1029	Vampire Rain: Altered Species 	PS3	30/05/2026		Not Completed 		0				Stealth | Adventure	Box | Cover | Manual	
1030	Mobile Suit Gundam: Target in Sight	PS3	30/05/2026		Not Completed 		0				Action	Box | Cover	
645	Borderlands: The Pre-Sequel!	PS4	23/08/2023	06/08/2026	Completed	85	1				FPS | RPG	Box | Cover | Manual	Handsome Collection
646	The Witcher III: Wild Hunt	PS4	23/08/2023		Not Completed 		0				RPG	Box | Cover | Manual	
1033	Silent Hill 2 HD	PS3	01/07/2026		Not Completed 		0				Horror | Adventure	Box | Cover | Manual	HD Collection
648	Watch Dogs 2	PS4	23/08/2023		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
721	For Honor	PS4	12/05/2024	14/09/2026	Completed	66	1				Action	Box | Cover | Manual	
1067	Dragon Ball Z: Ultimate Tenkaichi	PS3	08/08/2026		Not Completed 		0				Fighting	Box | Cover | Manual	
1068	Time Crisis 4	PS3	08/08/2026		Not Completed 		0				FPS	Box | Cover	
1069	Soulcalibur V	PS3	08/08/2026		Not Completed 		0				Fighting	Box | Cover | Manual	Fighting Edition
1070	Tekken Tag Tournament 2	PS3	08/08/2026		Not Completed 		0				Fighting	Box | Cover | Manual	Fighting Edition
1071	Red Faction	PS2	08/08/2026		Not Completed 		0				FPS	Box | Cover | Manual	Platinum
1072	Harvest Moon: Mad Dash	PS4	08/08/2026		Not Completed 		0				Adventure	Box | Cover | Manual	
1073	Sega Mega Drive Ultimate Collection	PS3	08/08/2026	/	Null	70	/				Party	Box | Cover | Manual	
1074	Super Smash Bros. Brawl	Wii	08/08/2026		Not Completed 		0				Fighting	Box | Cover | Manual	
722	Fist of the North Star: Lost Paradise	PS4	12/05/2024		Not Completed 		0				Action | RPG	Box | Cover | Manual	
650	Far Cry 4	PS4	23/08/2023	07/09/2026	Completed	88	1				FPS	Box | Cover | Manual	
651	Mass Effect: Andromeda	PS4	23/08/2023		Not Completed 		0				RPG | TPS	Box | Cover | Manual	
652	Grand Theft Auto V	PS4	23/08/2023		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
687	Deus Ex: Mankind Divided	PS4	09/12/2023		Not Completed 		0				FPS | RPG	Box | Cover	
688	Fallout 76	PS4	09/12/2023		Not Completed 		0				RPG	Box | Cover | Manual	
689	Metal Gear Solid V: The Phantom Pain	PS4	09/12/2023		Not Completed 		0				Action | Stealth	Box | Cover | Manual	
751	Kingdom Hearts Final Mix	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
752	Kingdom Hearts Re:Chain of Memories	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
978	Bound by Flame	PS4	11/12/2025		Not Completed 		0				Action | Adventure | RPG	Box | Cover | Manual	
979	Dodgeball Academia	PS4	11/12/2025		Not Completed 		0				Sports | RPG	Box | Cover | Manual	
980	Samurai Warriors 4 Empires 	PS4	11/12/2025		Not Completed 		0				Action | H&S | Strategy	Box | Cover | Manual	
981	My Hero One's Justice	PS4	11/12/2025		Not Completed 		0				Fighting	Box | Cover | Manual	
1035	Happy Feet	NDS	13/07/2026		Not Completed 		0				Action | Adventure | RPG	/	
1036	Star Wars Episode III: Revenge of the Sith	NDS	13/07/2026		Not Completed 		0				Action	/	
1076	One Piece: Pirate Warriors 3	PS4	18/09/2026		Not Completed 		0				Action | H&S	Box | Cover | Manual	
1077	One Piece: Pirate Warriors 4	PS4	18/09/2026		Not Completed 		0				Action | H&S	Box | Cover | Manual	
1078	Shin Megami Tensei III Nocturne	PS4	18/09/2026		Not Completed 		0				RPG	Box | Cover | Manual	HD Remaster
1079	Siren: New Translation	PS3	18/09/2026		Not Completed 		0				Horror	Box | Cover | Manual	
1037	Platinum Sudoku	NDS	13/07/2026	/	Null	56	/				Puzzle	/	
1038	Nanda's Island	NDS	13/07/2026		Not Completed 		0				Puzzle	/	
1039	Spider-Man 3	NDS	13/07/2026		Not Completed 		0				Action	/	
1040	Drawn to Life: SpongeBob SquarePants Edition	NDS	13/07/2026		Not Completed 		0				Platformer	/	
1041	Hannah Montana	NDS	13/07/2026		Not Completed 		0				Adventure	/	
1042	Tim Power: Firefighter	NDS	13/07/2026		Not Completed 		0				Adventure	/	
1043	Les Incollables CM1-CM2	NDS	13/07/2026	/	Null		/				Party	/	
1044	SpongeBob's Atlantis SquarePantis	NDS	13/07/2026		Not Completed 		0				Platformer	/	
1045	SpongeBob SquarePants and Friends: Unite!	NDS	13/07/2026		Not Completed 		0				Action | Adventure	/	
1046	Warhammer 40,000: Squad Command	NDS	13/07/2026		Not Completed 		0				Strategy	/	
1047	Mystery Tales: Time Travel	NDS	13/07/2026	29/08/2026	Completed	57	1		04:51		Puzzle	/	
1048	Jewels of the Tropical Lost Island	NDS	13/07/2026		Not Completed 		0				Puzzle	/	
985	Soul Hackers 2	PS4	15/12/2025		Not Completed 		0				RPG	Box | Cover | Manual	
753	Kingdom Hearts II Final Mix	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
754	Kingdom Hearts Birth by Sleep Final Mix	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
755	Kingdom Hearts Dream Drop Distance HD	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
756	Kingdom Hearts 0.2 Birth by Sleep -A fragmentary passage-	PS4	09/09/2024		Not Completed 		0				RPG	Box | Cover | Manual	Story So Far
759	Metro: Last Light Redux	PS4	09/09/2024		Not Completed 		0				FPS | Horror	Box | Cover | Manual	Redux Double Pack
956	Monster Hunter World	PS4	02/11/2025		Not Completed 		0				Action | RPG	Box | Cover | Manual	
1028	Epic Chef	PS4	30/05/2026		Not Completed 		0				Adventure	Box | Cover	
983	Fired Up	PSP	15/12/2025		Not Completed 		0				Action | Racing	Box | Cover | Manual	
967	LEGO Marvel Super Heroes: Universe in Peril	VITA	11/12/2025		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
968	LEGO Star Wars: The Force Awakens	VITA	11/12/2025		Not Completed 		0				Action | Adventure	Box | Cover | Manual	
1031	Red Steel 2	Wii	01/06/2026		Not Completed 		0				FPS	Box | Cover | Manual	
969	Call of Duty: Modern Warfare: Reflex Edition	Wii	11/12/2025		Not Completed 		0				FPS	Box | Cover | Manual	
970	de Blob 2	Wii	11/12/2025		Not Completed 		0				Plafformer	Box | Cover | Manual	
702	Alien Syndrome	Wii	09/12/2023		Not Completed 		0				Action | RPG	Box | Cover | Manual	
703	Far Cry Vengeance	Wii	09/12/2023		Not Completed 		0				FPS	Box | Cover	
849	Asteroids	Atari FB3	13/05/2025	/	Null		/					Built-in	
850	Backgammon	Atari FB3	13/05/2025	/	Null		/					Built-in	
851	Basketball	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
852	Battlezone	Atari FB3	13/05/2025	/	Null		/					Built-in	
853	Bowling	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
854	Canyon Bomber	Atari FB3	13/05/2025	/	Null		/					Built-in	
858	Combat	Atari FB3	13/05/2025	/	Null		/					Built-in	
859	Combat 2	Atari FB3	13/05/2025	/	Null		/					Built-in	
860	Demons to Diamonds	Atari FB3	13/05/2025	/	Null		/					Built-in	
861	Desert Falcon	Atari FB3	13/05/2025	/	Null		/					Built-in	
862	Dodge 'Em	Atari FB3	13/05/2025	/	Null		/					Built-in	
863	Double Dunk	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
865	Flag Capture	Atari FB3	13/05/2025	/	Null		/					Built-in	
866	Frog Pond	Atari FB3	13/05/2025	/	Null		/					Built-in	
867	Fun With Numbers	Atari FB3	13/05/2025	/	Null		/					Built-in	
868	Golf	Atari FB3	13/05/2025	/	Null		/					Built-in	
869	Gravitar	Atari FB3	13/05/2025	/	Null		/					Built-in	
871	Haunted House	Atari FB3	13/05/2025	/	Null		/					Built-in	
872	Home Run	Atari FB3	13/05/2025	/	Null		/					Built-in	
873	Human Cannonball	Atari FB3	13/05/2025	/	Null		/					Built-in	
874	Maze Craze	Atari FB3	13/05/2025	/	Null		/					Built-in	
875	Miniature Golf	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
876	Missile Command	Atari FB3	13/05/2025	/	Null		/					Built-in	
878	Off The Wall	Atari FB3	13/05/2025	/	Null		/					Built-in	
880	Realsports Baseball	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
881	Realsports Basketball	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
882	Realsports Soccer	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
883	Realsports Volleyball	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
884	Saboteur	Atari FB3	13/05/2025	/	Null		/					Built-in	
885	Save Mary	Atari FB3	13/05/2025	/	Null		/					Built-in	
886	Secret Quest	Atari FB3	13/05/2025	/	Null		/					Built-in	
887	Sky Diver	Atari FB3	13/05/2025	/	Null		/					Built-in	
888	Space War	Atari FB3	13/05/2025	/	Null		/					Built-in	
889	Sprintmaster	Atari FB3	13/05/2025	/	Null		/					Built-in	
890	Star Ship	Atari FB3	13/05/2025	/	Null		/					Built-in	
891	Steeplechase	Atari FB3	13/05/2025	/	Null		/					Built-in	
892	Submarine Commander	Atari FB3	13/05/2025	/	Null		/					Built-in	
893	Super Baseball	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
895	Super Football	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
897	Swordquest: Earthworld	Atari FB3	13/05/2025	/	Null		/					Built-in	
898	Swordquest: Fireworld	Atari FB3	13/05/2025	/	Null		/					Built-in	
900	Video Chess	Atari FB3	13/05/2025	/	Null		/				Sports	Built-in	
902	Wizard	Atari FB3	13/05/2025	/	Null		/					Built-in	
1011	NFL Street 3	PS2	18/04/2026	/	Null		/				Sports	Box | Cover | Manual	
916	NBA 2K11	PS2	11/06/2025	/	Null		/				Sports	Box | Cover | Manual	
788	Formula One 2005	PS2	10/12/2024	/	Null		/				Racing	Box | Cover | Manual	
790	Ultimate Casino	PS2	10/12/2024	/	Null		/				Party	Box | Cover | Manual	
792	This Is Football 2003	PS2	10/12/2024	/	Null		/				Sports	Box | Cover | Manual	Platinum
795	Vegas Casino 2	PS2	10/12/2024	/	Null		/				Party	Box | Cover | Manual	
798	Play It Chess Challenger	PS2	10/12/2024	/	Null		/				Sports	Box | Cover | Manual	
162	Pro Evolution Soccer	PS2	21/08/2016	/	Null		/				Sports	Box | Cover | Manual	
986	Team Fortress 2	PS3	06/01/2026	/	Null		/				TPS | Action		Orange Box
1022	Go! Sudoku	PSP	18/04/2026	/	Null		/				Puzzle	Box | Cover | Manual	
1023	NFL Street 2: Unleashed	PSP	18/04/2026	/	Null		/				Sports	Box | Cover | Manual	
764	MTX MOTOTRAX	PSP	12/09/2024	/	Null		/				Racing 	Box | Cover | Manual	
306	WWE SmackDown vs. Raw 2007	PSP	30/08/2019	/	Null		/				Sports | Fighting	/	
41	WWE SmackDown vs. Raw 2008	PSP	02/02/2013	/	Null		/				Sports | Fighting	Box | Cover*	
1002	Minecraft	VITA	27/03/2026		Not Completed	84	/				Adventure	Box | Cover | Manual	
936	Sports Island	Wii	27/09/2025	/	Null		/				Sports	Box | Cover | Manual	
937	Sports Island 2	Wii	27/09/2025	/	Null		/				Sports	Box | Cover | Manual	
379	Skylanders: Spyro's Adventure	3DS	06/02/2021	/	Unplayable		/				Action | Adventure	Box | Cover	
