-																																																			
	All-Time Categories																																																		
																																																		Games Completed: 53  Games Bought: 173  Consoles Bought: Atari FlashBack 3, PS Vita  Moment of the Year Honorable Mentions: Fallout 4 Final Mission and Final Moments Deux Ex Namir Boss Fight LocoRoco2 - Mui Mui House Lu Bu Final Battle DW6 Beating Adventure II Bloodborne - First Boss Bloodborne - Blood-Starved Beast Bloodborne - Shadow of Yarhnam Death Stranding - Starting Walk Death Stranding - Finalizing Zip Line Rayman Legends - Castle Rock Silent Hill - Bathroom Scene Getting the Vita	
	Fallout 4 [PS4]	Silent Hill 2 [PS2]	Bloodborne [PS4]	MediEvil [PS4]	Rayman Legends [PS4]	Toukiden: The Age of Demons [VITA]	Brink [PS3]	PlayStation 4	Toukiden: The Age of Demons [VITA]	Midnight Club: Los Angeles [PS3]	Rayman Legends [PS4]	Fallout 4 [PS4]	Borderlands 2 [PS4]	Bloodborne [PS4]	Silent Hill 2 [PS2]	Silent Hill 2 - Final Letter	Condemned 2: Bloodshoot [PS3]	Tomb Raider III: Adventures of Lara Croft [PS1]	Metal Gear Solid [PS Classic]	Silent Hill 2 [PS2]	Deus Ex: Human Revolution [PS3]	Fallout 4 [PS4]	de Blob [Wii]	Super Mario 3D Land [3DS]	Star Wars: The Force Unleashed II [NDS]	NBA Street Vol. 2 [GCN]	The Legend of Zelda: A Link to the Past  [SNESc]	LocoRoco 2 [PSP]	Toukiden: The Age of Demons [VITA]	Adventure II [Atari FB3]	/	Borderlands 2 [PS4]	The Order 1886 [PS4]	Silent Hill 2 [PS2]	Midnight Club: Los Angeles [PS3]	Mortal Kombat XL [PS4]	Fallout 4 [PS4]	Rayman Legends [PS4]	Bloodborne [PS4]	Death Stranding [PS4]	Deus Ex: Human Revolution [PS3]	Warriors Orochi 4 [PS4]	Myth Makers: Orbs of Doom [PS2]	The History Channel: Great Battles of Rome [PS2]	Captain Tsubasa: Rise of New Champions [PS4]	Outlaw [Atari FB3]	Fallout 4 [PS4]	Silent Hill 2 [PS2]			
	2024 Best-Of																																																		
	Category: Game of the Year 2024 Winner	Category: Game of the Year 2024 Runner-Up	Category: Game of the Year 2024 Third Place	Category: Favourite Platinum 2024	Category: Co-op GOTY 2024	Category: Biggest Surprise 2024	Category: Biggest Dissapointment 2024	Category: Console of the Year 2024	Category: Best Non-English Game 2024	Category: Best Game Not Finished 2024	Category: Best Game in 🐥 Opinion 2024	Category: Best Game of Q1 2024	Category: Best Game of Q2 2024	Category: Best Game of Q3 2024	Category: Best Game of Q4 2024	Category: Most Memorable Moment 2024	Category: Best Cover Art 2024	Category: PS1 GOTY 2024	Category: PS Classic GOTY 2024	Category: PS2 GOTY 2024	Category: PS3 GOTY 2024	Category: PS4 GOTY 2024	Category: Wii GOTY 2024	Category: 3DS GOTY 2024	Category: DS GOTY 2024	Category: GCN GOTY 2024	Category: SNES Classic GOTY 2024	Category: PSP GOTY 2024	Category: VITA GOTY 2024	Category: Atari FB GOTY 2024	Category: PC GOTY 2024	Category: FPS GOTY 2024	Category: TPS GOTY 2024	Category: Horror GOTY 2024	Category: Racing Game GOTY 2024	Category: Fighting Game GOTY 2024	Category: RPG GOTY 2024	Category: Platformer GOTY 2024	Category: Action Game GOTY 2024	Category: Adventure Game GOTY 2024	Category: Stealth Game GOTY 2024	Category: Hack&Slash Game GOTY 2024	Category: Puzzle Game GOTY 2024	Category: Strategy Game GOTY 2024	Category: Sports Game GOTY 2024	Category: Party Game GOTY 2024	Category: Open World GOTY 2024	Category: Games from Slavica GOTY 2024		Highlights, Stats & Changes 2024	
																																																		Games Completed: 49  Games Bought: 105  Consoles Bought: GameCube (Kinda)  Moment of the Year Honorable Mentions: Murdered Soul Suspect Final Twist One Piece SP 2 Final Boss Fallout 3 GOTY - Final Room Cleaning Odin Sphere Fights - King Gallon and Levanthan  Uncharted 4 Ending Climbing Eiffel Tower - Saboteur  Kessen 3 Planning Song TOP ANGLER!	
	Fallout 3 Game of the Year Edition [PS3]	Kessen III [PS2]	The Last of Us [PS3]	The Walking Dead: Season 2 [PS3]	Link's Crossbow Training [Wii]	Army of Two: The 40th Day [PSP]	Burnout Dominator [PS2]	PlayStation 3	/	Burnout Dominator [PS2]	Uncharted 4: A Thief's End [PS4]	Fallout 3 Game of the Year Edition [PS3]	The Last of Us [PS3]	Samurai Warriors 2 Empires [PS2]	Kessen III [PS3]	Samurai Warriors 2 Empires - Slavica Rank 1 [PS2]	Odin Sphere [PS2]	/	Oddworld: Abe’s Oddysee [PS Classic]	Kessen III [PS2]	Fallout 3 Game of the Year Edition [PS3]	Uncharted 4: A Thief's End [PS4]	Samurai Warriors: Katana [Wii]	Yo-Kai Watch 2: Fleshy Souls [3DS]	Speed Racer: The Videogame [NDS]	NBA Street Vol. 2 [GCN]	/	Phantasy Star Portable [PSP]	/	/	/	Evolve [PS4]	Dead Space 2 [PS3]	Dead Space 2 [PS3]	Need for Speed: Most Wanted [PS3]	Mortal Kombat vs DC Universe [PS3]	Fallout 3 Game of the Year Edition [PS3]	Oddworld: Abe’s Oddysee [PS Classic]	The Last of Us [PS3]	The Last of Us [PS3]	Hitman 2: Silent Assassin [PS2]	Samurai Warriors 2 Empires [PS2]	James Noir's Hollywood Mystery 3D [3DS]	Kessen III [PS2]	Pro Evolution Soccer 2013 [PS3]	Fruit Machine Mania [PS2]	Fallout 3 Game of the Year Edition [PS3]	Yo-Kai Watch 2: Fleshy Souls [3DS]			
	2023 Best-Of																																																		
	Category: Game of the Year 2023 Winner	Category: Game of the Year 2023 Runner-Up	Category: Game of the Year 2023 Third Place	Category: Favourite Platinum 2023	Category: Co-op GOTY 2023	Category: Biggest Surprise 2023	Category: Biggest Dissapointment 2023	Category: Console of the Year 2023	Category: Best Non-English Game 2023	Category: Best Game Not Finished 2023	Category: Best Game in 🐥 Opinion 2023	Category: Best Game of Q1 2023	Category: Best Game of Q2 2023	Category: Best Game of Q3 2023	Category: Best Game of Q4 2023	Category: Most Memorable Moment 2023	Category: Best Cover Art 2023	Category: PS1 GOTY 2023	Category: PS Classic GOTY 2023	Category: PS2 GOTY 2023	Category: PS3 GOTY 2023	Category: PS4 GOTY 2023	Category: Wii GOTY 2023	Category: 3DS GOTY 2023	Category: DS GOTY 2023	Category: GCN GOTY 2023	Category: SNES Classic GOTY 2023	Category: PSP GOTY 2023	Category: VITA GOTY 2023	Category: Atari FB GOTY 2023	Category: PC GOTY 2023	Category: FPS GOTY 2023	Category: TPS GOTY 2023	Category: Horror GOTY 2023	Category: Racing Game GOTY 2023	Category: Fighting Game GOTY 2023	Category: RPG GOTY 2023	Category: Platformer GOTY 2023	Category: Action Game GOTY 2023	Category: Adventure Game GOTY 2023	Category: Stealth Game GOTY 2023	Category: Hack&Slash Game GOTY 2023	Category: Puzzle Game GOTY 2023	Category: Strategy Game GOTY 2023	Category: Sports Game GOTY 2023	Category: Party Game GOTY 2023	Category: Open World GOTY 2023	Category: Games from Slavica GOTY 2023		Highlights, Stats & Changes 2023	
																																																		Games Completed: 54  Games Bought: 131  Consoles Bought: PS2 Fat, PS4, PS Classic  Moment of the Year Honorable Mentions: Dark Souls II - First Boss Dark Souls II - Final Boss Warriors Haul Unboxing Carnival Games Mini Golf - Final Hole Victory Red Dead Redemption - Ending Silent Hill 4: The Room - Room Becoming Alive Revelations: Persona - Final Boss  Ratings Changes: Assassin's Creed: Bloodlines | 79->75 Grand Theft Auto: Chinatown Wars | 89->88 New Super Mario Bros. DS | 88->83 Untold Legends: The Warriors Code | 79->72.5 Star Wars: Battlefront | 71->69.5	
	Dark Souls II [PS3]	Red Dead Redemption [PS3]	Warriors Orochi 3 [PS3]	Sleeping Dogs [PS3]	Resident Evil: Umbrella Chronicles [Wii]	Everybody's Tennis [PSP]	Dead Rising 2: Off the Record [PS3]	PlayStation 3	Samurai Warriors [PS2]	Onimusha: Warlords [PS2]	Sleeping Dogs [PS3]	Dark Souls II [PS3]	Silent Hill 4: The Room [PS2]	Resident Evil 4 [PS2]	Red Dead Redemption [PS3]	Extermination - Final Boss [PS2]	Silent Hill 4: The Room [PS2]	/	Revelations: Persona [PS Classic]	Silent Hill 4: The Room [PS2]	Dark Souls II [PS3]	DIshonored [PS4]	Resident Evil: Umbrella Chronicles [Wii]	Super Mario Maker [3DS]	Scurge: Hive [NDS]		/	Locoroco [PSP]	/	/	/	Borderlands [PS3]	Destroy All Humans! [PS2]	Silent Hill 4: The Room [PS2]	Mario Kart Wii [Wii]	BlazBlue: Calamity Trigger [PS3]	Dark Souls II [PS3]	Locoroco [PSP]	Red Dead Redemption [PS3]	Red Dead Redemption [PS3]	Dishonored [PS4]	Warriors Orochi 3 [PS3]	Mr Driller [PS Classic]	Tom Clancy's EndWar [PSP]	Everybody's Tennis [PSP]	High School Musical: Sing It! [PS2]	Dark Souls II [PS3]	Dark Souls II [PS3]			
